 ,Label,Cell_ID,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,Pole_RadiusDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,Pole_RadiusBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event14_tirf_RAW_Stack.tif,1,4,1060,63.42264,67228.0,20,230,32.46351,265.0,211.0,14.1774,177,75.76271,13410.0,19,166,39.97002,2,0,218.0,185.0,14.1774,177,92.74576,16416.0,18,230,49.856590000000004,6,0,1.59038,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event15_tirf_RAW_Stack.tif,1,4,1005,63.608959999999996,63927.0,32,140,17.894820000000003,238.93315,237.99616,14.51665,177,60.96045,10790.0,29,117,21.4964,1,0,252.71032000000002,297.85717,14.51665,177,67.0565,11869.0,27,140,28.419490000000003,3,0,1.00973,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event16_tirf_RAW_Stack.tif,1,4,920,59.725,54947.0,32,169,20.90981,262.55678,296.82479,12.60328,137,67.80292,9289.0,28,129,27.398429999999998,1,0,214.0,270.0,12.60328,137,80.85401,11077.0,34,169,33.43817,5,0,1.3885100000000001,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event17_tirf_RAW_Stack.tif,1,4,1097,49.34275,54129.0,27,88,11.01505,241.0,372.0,14.317820000000001,177,48.14124,8521.0,25,70,11.28642,0,0,240.0,433.0,14.317820000000001,177,53.97175,9553.0,26,88,15.960329999999999,2,0,1.0521399999999999,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event19_tirf_RAW_Stack.tif,1,4,868,60.809909999999995,52783.0,33,147,19.773970000000002,236.49273,265.11531,14.64414,177,66.50282,11771.0,30,144,27.96896,2,0,250.94052000000002,221.02647000000002,14.64414,177,71.24294,12610.0,37,147,26.54826,1,0,1.24641,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event2_tirf_RAW_Stack.tif,1,4,1292,73.57972,95065.0,21,307,39.48545,265.83662999999996,235.12412999999998,13.0495,156,80.5641,12568.0,18,202,47.40467,3,0,302.0,160.0,13.0495,156,127.73718000000001,19927.0,18,307,71.93330999999999,5,0,1.63126,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event20_tirf_RAW_Stack.tif,1,4,830,71.11686999999999,59027.0,34,155,23.51679,209.5462,315.57915,13.81454,156,79.33333,12376.0,34,154,32.47974,0,0,230.0,273.0,13.81454,156,83.85897,13082.0,35,155,30.67193,2,0,1.2591,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event22_tirf_RAW_Stack.tif,1,4,1335,67.29288000000001,89836.0,16,334,42.63322,251.0,315.0,11.6833,112,95.26786,10670.0,28,190,45.37531,2,0,173.0,289.0,11.6833,112,164.25893,18397.0,59,334,74.65871,5,0,2.3723799999999997,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event25_tirf_RAW_Stack.tif,1,4,753,94.29216,71002.0,31,404,68.5715,227.0,268.0,12.09915,137,81.87591,11217.0,31,186,39.68172,6,0,278.97767000000005,265.57355,12.09915,137,189.16788,25916.0,42,404,109.65638999999999,6,0,1.91665,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event27_tirf_RAW_Stack.tif,1,4,860,74.67558000000001,64221.0,17,195,25.5991,276.11818,303.66136,12.20454,137,51.0438,6993.0,15,171,33.45824,2,0,242.66136,337.11818,12.20454,137,52.9854,7259.0,4,125,31.79437,3,0,0.6099899999999999,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event28_tirf_RAW_Stack.tif,1,4,831,77.1781,64135.0,42,257,34.09995,158.01193,279.54483,8.09752,69,99.36232,6856.0,41,253,54.03974,3,0,229.0,284.0,8.09752,69,121.53623,8386.0,55,207,42.82714,2,0,1.56549,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event29_tirf_RAW_Stack.tif,1,4,819,60.80464,49799.0,38,124,13.178239999999999,292.0,296.0,12.155510000000001,137,56.759119999999996,7776.0,30,77,13.11069,1,0,266.0,249.0,12.155510000000001,137,73.56204,10078.0,37,124,21.0108,3,0,1.11168,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event3_tirf_RAW_Stack.tif,1,4,582,83.61856,48666.0,29,260,40.96204,270.18934,230.6864,6.55553,37,86.2973,3193.0,44,186,36.43172,4,0,223.77375,259.25356,6.55553,37,121.0,4477.0,40,252,65.79851,2,0,1.28436,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event30_tirf_RAW_Stack.tif,1,4,798,69.6792,55604.0,39,183,19.705479999999998,269.69435,248.24709,12.70088,137,61.88321,8478.0,26,104,21.935760000000002,1,0,215.0,246.0,12.70088,137,84.81752,11620.0,37,183,36.9358,3,0,1.08251,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event31_tirf_RAW_Stack.tif,1,4,667,104.01049,69375.0,48,294,42.65602,329.0,212.0,10.53298,97,125.50515,12174.0,55,219,43.41518,3,0,288.0,233.0,10.53298,97,159.72165,15493.0,56,294,67.91796,4,0,1.61734,mNG_PilG_fliC-,Solid
