 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,StdDev,Median,Slice,Cell_ID
1,pilB_mNG_fliC-_sol_BR=1_0_event15_tirf_RAW_Stack.tif,742,255,255,255,15.030999999999999,43.80593,5,836,124.69617,104246.0,59,301,35.50429000000001,298.28777,362.54435,112,119.27679,13359.0,47,196,41.26321,0,0,286.54647,422.22307,112,135.51786,15178.0,36,301,75.69331,0,0,1.02983,pilB_mNG_fliC-,Solid,,,,
2,pilB_mNG_fliC-_sol_BR=1_0_event16_tirf_RAW_Stack.tif,440,255,255,255,28.65682,14.62727,5,504,233.35317,117610.0,84,1043,170.68957,208.73179,154.35491000000005,97,158.58763000000005,15383.0,62,211,40.17326,1,0,172.18117,148.15137,97,473.62887,45942.0,111,1043,271.41636,6,0,1.74102,pilB_mNG_fliC-,Solid,,,,
3,pilB_mNG_fliC-_sol_BR=1_0_event16_tirf_RAW_Stack.tif,868,255,255,255,46.71774,11.97005,5,980,155.2551,152150.0,71,512,58.32695,214.16495,286.45082,112,164.96428999999995,18476.0,69,294,57.779,0,0,140.75968999999995,276.08418,112,206.72321,23153.0,55,512,130.22055,3,0,1.27123,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event17_tirf_RAW_Stack.tif,1066,255,255,255,34.32645,53.07129000000001,5,1213,314.08986,380991.0,117,1276,156.32435,272.03185,209.69507,112,350.1875,39221.0,93,738,178.39704,2,0,224.76168,288.18059,112,579.13393,64863.0,141,1276,342.30800000000005,5,0,1.6595799999999998,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event19_tirf_RAW_Stack.tif,591,255,255,255,33.23942,32.06176,5,685,223.47737,153082.0,84,770,98.28981,223.18166,340.2617,97,257.95876,25022.0,113,424,80.24531999999998,1,0,263.1258,374.37846,97,318.1752600000001,30863.0,56,770,197.98711,2,0,1.4552,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event2_tirf_RAW_Stack.tif,456,255,255,255,9.15132,30.89912,5,514,102.86381,52872.0,53,139,22.44501,244.63422000000003,379.39144,112,83.4375,9345.0,42,115,18.6865,0,0,245.39266,344.58756,112,98.05357,10982.0,46,139,25.11015,0,0,0.80861,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event20_tirf_RAW_Stack.tif,1059,255,255,255,28.78895,62.04013000000001,5,1198,332.84307,398746.0,102,899,122.15519,339.47593,250.77963,97,453.1134,43952.0,135,899,223.21602,5,0,301.99811,331.9777200000001,97,464.6701,45073.0,138,875,185.93943,8,0,1.48756,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event21_tirf_RAW_Stack.tif,492,255,255,255,26.77236,25.07724,5,564,91.43085,51567.0,49,140,20.79231,244.30835,182.53505,112,87.53571,9804.0,45,126,24.80734,0,0,274.5827,206.60207,112,89.40179,10013.0,42,140,27.67458,1,0,0.94738,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event22_tirf_RAW_Stack.tif,591,255,255,255,39.99915,11.23942,5,669,190.59043,127505.0,83,409,53.01042,362.55888,272.61432,97,195.59794,18973.0,50,409,98.86003,1,0,311.46929,274.26464,97,217.03093,21052.0,91,396,72.19497,0,0,1.12025,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event23_tirf_RAW_Stack.tif,679,255,255,255,25.19072,40.73711,5,774,208.30103,161225.0,73,373,60.6371,181.0777,376.77723,137,200.35036,27448.0,53,373,79.90745,3,0,209.57349,332.00086,137,212.42336,29102.0,58,357,80.12148,0,0,0.98585,pilB_mNG_fliC-,Solid,,,,
2,pilB_mNG_fliC-_sol_BR=1_0_event23_tirf_RAW_Stack.tif,447,255,255,255,29.25168,11.99664,5,509,260.24165,132463.0,112,556,80.79696,345.63693,267.97303,97,196.7732,19087.0,98,285,48.58551,1,0,310.30434,260.29662,97,344.79381,33445.0,163,556,109.14697,0,0,1.06713,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event24_tirf_RAW_Stack.tif,442,255,255,255,21.6448,31.4638,5,509,158.84283,80851.0,67,395,51.18892,196.30184,418.66046,97,135.37113,13131.0,67,188,34.23458,1,0,181.91709,448.96763,97,171.52577,16638.0,48,395,95.01086,2,0,0.94625,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event6_tirf_RAW_Stack.tif,741,255,255,255,32.52564,36.37989,5,850,268.64,228344.0,90,774,108.74177,309.09136,317.1022,80,359.0,28720.0,115,663,146.30738,1,0,348.84225,267.84422,80,425.2625,34021.0,112,774,188.4652,3,0,1.63385,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event7_tirf_RAW_Stack.tif,796,255,255,255,30.73618,38.35804,5,907,202.08049,183287.0,67,461,64.54257,272.33761,152.48456000000004,112,217.77679,24391.0,87,461,99.89758,2,0,233.29973,204.24225,112,223.16964,24995.0,86,384,83.18436,5,0,1.12459,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_sol_BR=1_0_event9_tirf_RAW_Stack.tif,564,255,255,255,13.07801,39.86348,5,637,159.93563999999995,101879.0,67,240,37.19878,341.72338,421.50071,112,132.48214,14838.0,36,235,53.6181,1,0,333.70024,376.60193,112,154.08928999999995,17258.0,54,218,41.71364000000001,3,0,0.84801,pilB_mNG_fliC-,Solid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,974,255,255,255,41.02053,46.45791,6,1081,96.50509,104322.0,35,152,32.08525,269.37252,248.21063,208,76.76442,15967.0,23,142,30.95138,0,0,228.21063,289.37252,208,84.45673000000002,17567.0,32,146,33.90863,0,0,0.7572800000000001,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,770,255,255,255,27.32987,47.6961,6,850,72.00941,61208.0,34,107,19.37401,163.39392,101.55404,208,59.375,12350.0,19,100,20.32546,0,0,148.61836,59.44165,208,62.21635,12941.0,27,97,20.44638,0,0,0.7346199999999999,pilB_mNG_fliC-,Liquid,,,,1.0
2,pilB_mNG_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,606,255,255,255,40.90759,26.4769,6,675,71.3763,48179.0,31,106,19.06036,86.75862,407.85531,177,63.59322,11256.0,23,100,20.09024,0,0,121.30775,417.91797,177,64.9887,11503.0,27,93,19.70809,0,0,0.81186,pilB_mNG_fliC-,Liquid,,,,2.0
1,pilB_mNG_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,2257,255,255,255,61.05029,58.99225,6,2442,89.25471,217960.0,33,191,29.10635,297.02234,208.94292,316,78.80696,24903.0,36,105,16.87651,0,0,233.35612000000003,289.35656,316,93.29747,29482.0,33,191,44.51089,0,0,0.95219,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,790,255,255,255,34.339240000000004,36.49241,6,874,77.85355,68044.0,36,121,23.31608,141.3015,191.55603,208,68.57212,14263.0,34,109,20.67425,0,0,114.93633,220.757,208,71.78846,14932.0,32,108,23.23652,0,0,0.82737,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,714,255,255,255,41.98739000000001,24.95518,6,788,96.69289,76194.0,40,164,31.70736,266.10174,366.08158,80,79.675,6374.0,35,118,23.30305,0,0,224.8452,357.16644,80,101.2,8096.0,43,164,38.0903,0,0,0.92014,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,1067,255,255,255,42.36129,45.15417,6,1179,121.01187,142673.0,43,215,44.15473,238.46347000000003,280.78664,225,95.93333,21585.0,32,161,38.13182000000001,0,0,277.66051,235.32021,225,121.03556,27233.0,41,215,52.10745,0,0,0.8426299999999999,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event16_tirf_RAW_Stack.tif,699,255,255,255,41.05794,28.52003,6,779,113.06932,88081.0,33,215,34.12928,281.50062,228.7729,156,103.21154,16101.0,29,173,38.95771,0,0,322.73577,242.51795,156,123.6859,19295.0,49,215,42.83213,0,0,1.00561,pilB_mNG_fliC-,Liquid,,,,1.0
2,pilB_mNG_fliC-_liq_Gasket_0_event16_tirf_RAW_Stack.tif,684,255,255,255,20.29094,47.53947,6,756,120.52116,91114.0,41,345,49.91912,249.41999,270.6073,156,87.75641,13690.0,24,138,32.65032,0,0,248.15736,308.25888,156,150.84615,23532.0,27,345,84.90079,0,0,0.98289,pilB_mNG_fliC-,Liquid,,,,2.0
1,pilB_mNG_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,844,255,255,255,39.35545,38.0,6,940,104.73723,98453.0,47,285,40.02515,274.39913,274.09924,177,77.61582,13738.0,39,121,25.91265,0,0,236.47699,240.03883,177,127.39548,22549.0,48,285,60.04034,0,0,0.96626,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event18_tirf_RAW_Stack.tif,743,255,255,255,37.05316,37.05047,6,827,89.38694,73923.0,40,133,26.670720000000006,301.3732100000001,299.74758,208,80.53846,16752.0,31,128,29.12506,0,0,274.72728,269.26291000000003,208,85.35096,17753.0,35,133,29.90528,0,0,0.8648399999999999,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event19_tirf_RAW_Stack.tif,1051,255,255,255,28.91579,53.36965,6,1158,126.61831,146624.0,36,226,42.11565,279.16635,286.48375,208,109.71635,22821.0,40,226,47.50409000000001,0,0,295.15859,346.42975,208,112.03846,23304.0,12,188,42.66552,0,0,0.81863,pilB_mNG_fliC-,Liquid,,,,1.0
2,pilB_mNG_fliC-_liq_Gasket_0_event19_tirf_RAW_Stack.tif,919,255,255,255,22.05169,54.62405,6,1016,141.36417,143626.0,36,277,48.59961,308.5333100000001,213.58422,156,114.28205,17828.0,35,206,47.78335,0,0,319.12562,271.29639,156,148.53205,23171.0,27,277,75.90762,1,0,0.90143,pilB_mNG_fliC-,Liquid,,,,2.0
1,pilB_mNG_fliC-_liq_Gasket_0_event20_tirf_RAW_Stack.tif,908,255,255,255,42.06278,43.86454000000001,6,1014,81.08974,82225.0,37,130,23.59984,292.53463,343.03148,177,70.54236999999998,12486.0,24,130,31.60947,0,0,252.52774,299.83575,177,77.78531,13768.0,35,117,24.17242,0,0,0.8745299999999999,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event21_tirf_RAW_Stack.tif,741,255,255,255,38.43522,37.53644,6,826,86.39466999999998,71362.0,33,160,27.2627,216.14835,268.54438,208,75.56730999999998,15718.0,31,117,26.80121,0,0,246.33051,297.98976,208,87.80769000000002,18264.0,26,160,37.57892,0,0,0.8959799999999999,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event22_tirf_RAW_Stack.tif,685,255,255,255,28.45474,42.1365,6,764,101.36387,77442.0,39,325,46.5547,285.28717,302.18806,177,79.77965999999998,14121.0,26,120,29.00709,0,0,268.51933,337.23759,177,127.33898,22539.0,38,325,78.09164,0,0,1.04113,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event3_tirf_RAW_Stack.tif,763,255,255,255,33.70708,37.81193,6,847,121.60448999999998,102999.0,44,228,42.94623,276.31886000000003,200.43656,208,114.71154,23860.0,43,177,43.3746,0,0,252.86638,231.70233,208,122.62981,25507.0,48,228,49.70135,0,0,0.95367,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,670,255,255,255,23.08806,46.69104,6,742,97.77628,72550.0,39,150,29.95906,354.68365,148.70139,156,77.88462,12150.0,37,128,24.87853,0,0,348.60736,191.19761,156,91.8141,14323.0,32,146,34.4694,0,0,0.79183,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event6_tirf_RAW_Stack.tif,746,255,255,255,43.21448,31.98123,6,824,76.46481,63007.0,35,121,22.15616,173.19037,269.05973,208,68.82212,14315.0,33,96,18.743170000000006,0,0,207.21528,286.12302,208,71.66346,14906.0,21,121,32.71561,0,0,0.84825,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event7_tirf_RAW_Stack.tif,1114,255,255,255,56.25494000000001,25.53411,6,1221,94.14824,114955.0,40,180,31.53297,158.62485,280.47067000000004,208,71.35096,14841.0,35,101,17.70141,0,0,224.56251,290.2554,208,99.60096,20717.0,36,180,39.61773,0,0,0.8666299999999999,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event8_tirf_RAW_Stack.tif,857,255,255,255,31.55018,46.60735,6,947,80.06441,75821.0,40,176,25.50188,434.84168,409.95451,208,64.64904,13447.0,33,101,17.11871,0,0,411.80655,364.71745,208,76.25,15860.0,25,176,40.81495,0,0,0.80425,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_liq_Gasket_0_event9_tirf_RAW_Stack.tif,719,255,255,255,43.43324000000001,24.42907,6,793,93.34552,74023.0,45,134,25.42004,307.0615200000001,269.63708,177,73.41808,12995.0,35,127,24.40648,0,0,265.97486000000004,262.16248,177,87.53671999999997,15494.0,44,131,25.28834,0,0,0.77589,pilB_mNG_fliC-,Liquid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event1_tirf_RAW_Stack.tif,640,255,255,255,22.11094,43.76875,6,716,122.20112,87496.0,48,240,47.53518,250.86136,263.70289,156,103.96154,16218.0,39,185,40.34479,0,0,240.11133,220.55685,156,112.98718,17626.0,36,209,48.48997,1,0,0.81681,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event10_tirf_RAW_Stack.tif,551,255,255,255,41.52904,28.15154,6,622,92.26849,57391.0,49,187,22.30011,298.23729,239.1183,137,75.40876,10331.0,35,105,20.72564,0,0,260.61262,225.29087,137,101.40876,13893.0,51,187,35.39599000000001,0,0,0.92762,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event11_tirf_RAW_Stack.tif,495,255,255,255,40.14848,30.5,6,566,115.68021,65475.0,54,348,42.7334,276.14451,204.00578,112,94.92857,10632.0,53,120,18.8114,0,0,243.01328,223.26549,112,150.86607,16897.0,51,348,76.22282,0,0,1.10765,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event13_tirf_RAW_Stack.tif,768,255,255,255,26.09115,48.26953,6,855,153.95556000000005,131632.0,75,248,40.7308,239.12735,371.0188,177,113.44068,20079.0,39,165,31.92175,0,0,229.70637,320.82547,177,158.40113,28037.0,53,248,57.31851,1,0,0.8153699999999999,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event14_tirf_RAW_Stack.tif,613,255,255,255,22.18515,44.98613,6,691,96.62518,66768.0,37,216,28.818720000000006,349.75463,314.52893,112,70.83929,7934.0,26,122,24.53112,0,0,358.74504,266.3784,112,122.03571,13668.0,44,216,43.68477,1,0,0.99713,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event15_tirf_RAW_Stack.tif,776,255,255,255,43.42912000000001,44.03737,6,884,82.49887,72929.0,37,160,20.47104,210.17604,363.45289,156,72.0,11232.0,26,115,24.54305,1,0,166.64213,405.35787,156,81.1859,12665.0,33,160,32.54749,1,0,0.8935200000000001,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event16_tirf_RAW_Stack.tif,822,255,255,255,46.478,42.37600000000001,6,937,112.124,105060.0,31,278,33.512,284.1740000000001,375.6,137,88.53299999999999,12129.0,17,170,44.107,0,0,231.845,414.426,137,125.818,17237.0,33,278,55.62,0,0,0.939,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event2_tirf_RAW_Stack.tif,620,255,255,255,36.19032,34.71452,6,694,101.54899,70475.0,39,253,36.87583,285.44666,351.95298,177,89.50282,15842.0,36,139,29.80088,0,0,259.70384,374.22111,177,107.9548,19108.0,34,253,55.28879000000001,0,0,0.94491,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event20_tirf_RAW_Stack.tif,1021,255,255,255,,,6,1150,68.101,78316.0,34,258,25.646,372.892,343.55300000000005,112,59.143,6624.0,28,80,14.188,0,0,398.364,424.366,112,108.545,12157.0,34,258,59.86600000000001,0,0,1.304,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event23_tirf_RAW_Stack.tif,700,255,255,255,,,6,791,81.47,64443.0,45,164,20.537,243.332,240.105,156,70.923,11064.0,39,100,16.385,0,0,214.48,201.8,156,91.436,14264.0,40,164,32.438,0,0,0.994,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event3_tirf_RAW_Stack.tif,1045,255,255,255,57.32392,38.81579,6,1170,111.58974,130560.0,57,237,29.97414,247.12205,360.75959,156,102.94231,16059.0,49,156,30.46738,1,0,179.00337,325.00168,156,126.73077,19770.0,51,237,50.36196,2,0,1.0401,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event4_tirf_RAW_Stack.tif,623,255,255,255,39.01043,38.25281,6,704,89.58523000000002,63068.0,43,129,20.9897,287.81058,244.35767,137,76.9635,10544.0,30,129,28.97626,0,0,256.96072000000004,215.80707,137,81.70073000000002,11193.0,44,121,20.58961,0,0,0.82536,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event5_tirf_RAW_Stack.tif,1194,255,255,255,,,6,1348,107.361,144723.0,42,288,32.738,218.92,212.067,137,108.204,14824.0,35,173,31.429,1,0,281.519,269.454,137,116.708,15989.0,26,288,71.575,1,0,1.06,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event6_tirf_RAW_Stack.tif,592,255,255,255,,,6,675,112.412,75878.0,43,170,30.114,254.675,192.116,112,94.795,10617.0,39,132,24.816,1,0,292.975,214.488,112,105.295,11793.0,54,159,27.93,0,0,0.8440000000000001,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event7_tirf_RAW_Stack.tif,1099,255,255,255,,,6,1248,149.436,186496.0,58,830,94.185,250.271,257.762,112,122.446,13714.0,49,199,39.311,1,0,205.44,175.312,112,323.562,36239.0,71,830,228.492,1,0,1.672,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_0_event9_tirf_RAW_Stack.tif,563,255,255,255,27.23002,44.35613,6,639,106.61972,68130.0,40,167,29.82758,325.96352,284.21891,112,90.66071,10154.0,34,150,31.37439,1,0,335.3159,243.61366,112,93.07143,10424.0,45,153,27.27396,0,0,0.80174,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event1_tirf_RAW_Stack-1.tif,606,255,255,255,22.80033,44.65677,6,679,87.73343,59571.0,29,238,33.49065,25.92856,410.32547,112,80.45536,9011.0,32,116,23.43397,0,0,35.48707,366.54739,112,104.59821,11715.0,6,238,68.65601,5,0,1.08379,pilB_mNG_fliC-,Solid,,,,1.0
2,pilB_mNG_fliC-_sol_Gasket_1_event1_tirf_RAW_Stack-1.tif,495,255,255,255,21.02929,43.17475,6,557,108.56014,60468.0,46,172,29.4075,223.95311,316.3002600000001,112,80.75893,9045.0,33,112,19.90077,0,0,217.08989,279.69167000000004,112,108.16964,12115.0,42,172,38.44708,0,0,0.8002600000000001,pilB_mNG_fliC-,Solid,,,,2.0
1,pilB_mNG_fliC-_sol_Gasket_1_event10_tirf_RAW_Stack.tif,586,255,255,255,,,6,661,108.07,71434.0,56,282,35.078,229.30900000000003,274.866,137,90.036,12335.0,42,130,22.926,0,0,190.673,260.182,137,132.336,18130.0,43,282,61.129,0,0,1.05,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event12_tirf_RAW_Stack.tif,730,255,255,255,,,6,829,137.153,113700.0,46,594,79.337,208.954,428.179,97,112.711,10933.0,49,173,32.121,1,0,266.957,408.557,97,279.536,27115.0,56,594,156.903,1,0,1.646,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event14_tirf_RAW_Stack.tif,810,255,255,255,,,6,901,92.881,83686.0,46,189,22.802,271.974,195.961,97,76.845,7454.0,44,105,16.702,0,0,330.05,183.148,97,102.268,9920.0,40,189,41.584,0,0,0.955,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event17_tirf_RAW_Stack.tif,856,255,255,255,33.07009,56.12617,6,963,179.40291000000005,172765.0,74,560,69.55875999999999,365.0632700000001,326.56225,112,210.49107,23575.0,72,366,81.67316,1,0,341.1438,263.3595,112,259.39286,29052.0,65,560,131.4084,1,0,1.44519,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event18_tirf_RAW_Stack.tif,617,255,255,255,31.17585,43.36386,6,699,74.60515,52149.0,42,143,18.33964,192.24115,137.58448,137,61.91241,8482.0,29,89,17.05979,0,0,170.09553,97.23037,137,80.54015,11034.0,32,143,28.04435,0,0,0.92762,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event21_tirf_RAW_Stack.tif,479,255,255,255,40.974,30.5,6,548,108.137,59259.0,39,308,37.454,269.16900000000004,206.768,112,92.17,10323.0,45,133,23.989,1,0,302.161,189.88,112,122.205,13687.0,37,308,70.131,4,0,0.985,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event22_tirf_RAW_Stack.tif,994,255,255,255,48.43159,47.53622,6,1134,134.50088,152524.0,40,559,61.82842,222.40281,308.98555,137,114.9781,15752.0,25,230,53.25362,3,0,162.15774,250.46802,137,208.71533,28594.0,61,559,133.55952,3,0,1.28666,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event23_tirf_RAW_Stack.tif,1087,255,255,255,33.402,67.839,6,1218,171.108,208410.0,57,517,59.07899999999999,281.42,211.644,112,165.34799999999996,18519.0,42,336,74.78699999999998,1,0,257.532,298.343,112,227.545,25485.0,71,517,107.707,1,0,1.188,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event25_tirf_RAW_Stack.tif,870,255,255,255,37.00115,56.03218,6,992,222.00907,220233.0,79,749,94.10814,302.08236,280.02676,112,265.94643,29786.0,51,693,161.74353,2,0,267.39096,213.24682,112,305.25893,34189.0,101,749,169.70843,3,0,1.40372,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event3_tirf_RAW_Stack.tif,734,255,255,255,25.234,51.484,6,824,151.59799999999996,124917.0,57,429,60.214,230.16,377.632,112,177.062,19831.0,66,325,65.25399999999999,0,0,233.505,434.272,112,187.527,21003.0,59,429,113.253,4,0,1.301,pilB_mNG_fliC-,Solid,,,,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event4_tirf_RAW_Stack.tif,573,255,255,255,,,6,652,162.549,105982.0,76,592,79.556,244.54,362.926,97,122.629,11895.0,78,164,22.966,0,0,256.801,317.165,97,288.258,27961.0,89,592,138.893,1,0,1.423,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
1,pilB_mNG_fliC-_sol_Gasket_1_event6_tirf_RAW_Stack.tif,839,255,255,255,,,6,941,99.32,93460.0,40,316,37.996,327.593,90.009,137,98.511,13496.0,47,196,39.975,1,0,328.457,157.97899999999996,137,137.69299999999998,18864.0,39,316,73.941,1,0,1.289,pilB_mNG_fliC-,Solid,0.0,255.0,1.0,1.0
