 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
1,mNG_pilU_fliC-_sol_BR=1_1_event12_tirf_RAW_Stack.tif,565,255,255,255,30.85575,29.70177,3,645,177.5907,114546.0,84,263,46.90823,269.9565,239.10275,137,149.32846999999995,20458.0,42,243,63.23801,0,0,237.73761,212.26385,137,170.13138999999995,23308.0,64,236,49.7786,0,0,0.83724,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event16_tirf_RAW_Stack.tif,552,255,255,255,19.16667,36.26993,3,623,169.86517,105826.0,79,246,41.43974,360.04003,180.14125,137,151.83942,20802.0,72,229,42.02384,0,0,349.65309,215.76913,137,161.81752,22169.0,51,246,60.74528000000001,1,0,0.8707799999999999,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event17_tirf_RAW_Stack.tif,604,255,255,255,29.32947,31.70861,3,692,237.09827,164072.0,91,665,90.98639,390.48166,199.27321,137,226.9781,31096.0,89,382,73.82805,3,0,421.3015,234.03344,137,279.18978,38249.0,71,665,171.375,2,0,1.11678,mNG_pilU_fliC-,Solid,,,,
2,mNG_pilU_fliC-_sol_BR=1_1_event17_tirf_RAW_Stack.tif,573,255,255,255,16.56457,36.06894000000001,3,646,275.02786000000003,177668.0,108,620,81.50187,237.67447,345.19516,137,220.42336,30198.0,100,325,60.50057,1,0,250.12266,304.74244,137,313.08029,42892.0,96,620,141.50468,1,0,0.94888,mNG_pilU_fliC-,Solid,,,,
3,mNG_pilU_fliC-_sol_BR=1_1_event17_tirf_RAW_Stack.tif,1049,255,255,255,32.96044000000001,52.2102,3,1189,514.3153900000002,611521.0,186,1620,229.86976,111.1398,331.01221,97,755.25773,73260.0,276,1365,307.95898,1,0,71.83842,411.46944,97,800.09278,77609.0,193,1620,443.39336,3,0,1.67976,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event19_tirf_RAW_Stack.tif,874,255,255,255,42.35927,35.37300000000001,3,988,362.33603,357988.0,149,1130,134.24722,255.58406,235.82005,112,337.45536,37795.0,148,519,118.5994,1,0,307.28166,277.34709,112,542.4553599999998,60755.0,162,1130,257.75545,4,0,1.29559,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event2_tirf_RAW_Stack.tif,761,255,255,255,50.55782,12.31472,3,859,483.53667,415358.0,187,1469,186.8343,271.92269,252.99022,97,420.52577,40791.0,184,684,144.7413,0,0,339.98962,243.38541,97,773.29897,75010.0,204,1469,363.02388,5,0,1.32511,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event20_tirf_RAW_Stack.tif,610,255,255,255,21.54262,32.65902,3,692,202.01156,139792.0,84,297,52.85343,322.6261,220.11527,137,163.11678999999995,22347.0,46,228,55.47085,0,0,297.42296,257.91743,137,186.52555,25554.0,87,285,60.11289,0,0,0.79524,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event21_tirf_RAW_Stack.tif,397,255,255,255,23.86524,27.39673,3,455,240.50549,109430.0,112,348,62.8657,271.61407,261.24062999999995,112,211.88393,23731.0,119,305,55.15298000000001,0,0,251.80393,241.34734,112,224.4375,25137.0,100,315,68.93681,0,0,0.8321200000000001,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event22_tirf_RAW_Stack.tif,505,255,255,255,36.16931,14.27228,3,570,257.84737,146973.0,114,466,69.38623,254.88797,263.76213,37,280.75676,10388.0,118,415,98.46613,1,0,213.1044,274.20739,37,305.75676,11313.0,143,466,107.87323,0,0,1.1611200000000002,mNG_pilU_fliC-,Solid,,,,
