 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
1,mNG_pilT_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,533,255,255,255,29.894,23.75891,1,607,157.09885,95359.0,79,271,37.64929,241.72102,101.63949,112,137.63393,15415.0,72,184,31.25426,0,0,207.74866,122.49504,112,168.28571000000005,18848.0,72,271,57.65171,0,0,0.95888,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,635,255,255,255,29.04331,30.99606,1,725,209.83448,152130.0,97,368,52.23819,193.77751,442.75333,137,183.22628,25102.0,64,285,59.25444,0,0,225.43081,406.3028,137,208.42336,28554.0,80,368,70.48725,2,0,0.89686,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,651,255,255,255,40.35868,13.237329999999998,1,731,178.99726,130847.0,105,327,34.80982,423.56324000000006,177.0704,177,156.41808,27686.0,64,220,46.06918,0,0,375.39902,170.19339,177,175.73446,31105.0,74,327,57.61039,0,0,0.86892,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,835,255,255,255,45.08443,13.911979999999998,1,935,243.62567,227790.0,123,478,63.36716,258.79901,442.35433,137,203.87591,27931.0,66,352,77.13324,0,0,322.11737,426.31585,137,277.47445,38014.0,107,478,105.84576,2,0,0.98295,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,413,255,255,255,26.22397,19.20944,1,473,232.40381,109927.0,130,352,53.04346999999999,237.73212,141.25333,112,187.13393,20959.0,115,250,32.475770000000004,0,0,263.86369,156.43185,112,222.14286,24880.0,126,321,49.77732,0,0,0.79508,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event16_tirf_RAW_Stack.tif,564,255,255,255,22.44858,31.20035,1,639,276.50704,176688.0,141,589,78.58776999999998,381.23932,157.51885,137,219.91241,30128.0,105,293,43.37329,0,0,398.55701,192.08539,137,328.58394,45016.0,140,589,133.35416,0,0,0.98579,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,562,255,255,255,10.66192,35.84342,1,629,327.80604,206190.0,195,423,57.25833000000001,324.20964,299.9204299999999,137,291.0365,39872.0,174,383,55.10556999999999,0,0,327.27522,258.03986000000003,137,302.38686,41427.0,127,417,86.74432,0,0,0.8434,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,380,255,255,255,27.96579,13.17895,1,434,168.45161000000004,73108.0,85,287,41.82493,129.65745,181.93273,137,139.0,19043.0,70,195,34.83596,0,0,101.34366,186.07488,137,174.79562,23947.0,62,287,59.53214000000001,0,0,0.8335100000000001,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event18_tirf_RAW_Stack.tif,767,255,255,255,25.79596,35.58735,1,868,221.07719,191895.0,124,314,48.59813,235.61757000000003,286.45658,137,165.24088,22638.0,81,244,40.07374,0,0,205.27744,235.60614,137,216.82482,29705.0,112,307,53.97479000000001,0,0,0.81313,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event19_tirf_RAW_Stack.tif,681,255,255,255,33.85242,23.68502,1,771,297.2996100000001,229218.0,148,598,71.74172,244.33438,265.59931,137,281.29197,38537.0,123,474,101.32854,4,0,197.40553,242.93985,137,323.23358,44283.0,151,598,116.64843,0,0,1.02614,mNG_pilT_fliC-,Liquid,,,,
